edad,genero,estado_civil,nivel_educacion,ingreso_mensual,tipo_empleo,antiguedad_laboral_meses,antiguedad_historial_meses,num_cuentas_credito,num_prestamos_activos,deuda_total,utilizacion_credito,num_pagos_atrasados_12m,dias_max_atraso,num_consultas_6m,tiene_propiedad,valor_propiedad,tiene_vehiculo,monto_solicitado,plazo_meses,proposito,ratio_deuda_ingreso,ratio_cuota_ingreso,default,credit_score
33,F,Casado,Secundaria,5774.32,Empleado,22,6,2,1,14274.86,66.56,0,0,4,1,75989.76,0,36890.51,12,Vivienda,20.6,53.24,1,471
33,F,Viudo,Universitario,3980.3,Independiente,304,74,4,1,13995.25,17.24,2,60,4,0,0.0,0,8906.28,12,Vivienda,29.3,18.65,0,850
43,M,Soltero,Universitario,1170.61,Empleado,67,161,3,2,3246.0,13.11,2,120,0,0,0.0,0,54630.59,36,Educacion,23.11,129.63,1,639
18,F,Soltero,Universitario,6120.2,Empleado,39,54,4,0,23203.62,25.76,1,90,3,0,0.0,0,19697.98,72,Educacion,31.59,4.47,0,815
18,F,Divorciado,Secundaria,3915.29,Independiente,19,92,2,1,3182.42,49.56,4,120,7,1,106394.4,1,4359.93,24,Vivienda,6.77,4.64,0,758
31,F,Casado,Posgrado,4234.43,Desempleado,0,58,3,1,13514.89,17.89,0,0,2,0,0.0,0,7831.22,60,Vivienda,26.6,3.08,0,834
24,M,Casado,Universitario,3122.11,Empleado,35,33,4,1,8974.69,10.74,0,0,1,0,0.0,0,19841.36,48,Consolidacion,23.95,13.24,0,788
44,F,Casado,Secundaria,11482.58,Empleado,9,10,4,0,20618.0,5.66,1,120,3,0,0.0,1,26916.18,36,Negocio,14.96,6.51,0,748
26,M,Casado,Técnico,1770.1,Empleado,17,0,2,2,12073.26,27.83,1,120,1,0,0.0,0,11145.26,48,Vivienda,56.84,13.12,1,715
18,M,Soltero,Universitario,6794.24,Independiente,120,15,4,4,9798.28,14.52,0,0,2,0,0.0,0,9550.73,72,Vehiculo,12.02,1.95,0,847
61,M,Casado,Secundaria,2378.2,Empresario,16,45,3,1,8383.71,23.66,0,0,1,1,41855.08,0,2759.74,60,Vivienda,29.38,1.93,0,787
36,M,Soltero,Universitario,23123.4,Empresario,137,13,4,1,17915.26,48.96,0,0,1,0,0.0,0,2941.3,36,Consumo,6.46,0.35,0,809
41,M,Viudo,Universitario,12770.7,Empleado,14,19,8,0,9269.52,45.57,0,0,3,0,0.0,1,5269.1,60,Vehiculo,6.05,0.69,0,841
18,F,Casado,Universitario,7921.95,Empleado,8,99,4,3,64836.18,22.08,1,30,3,1,266445.19,1,3947.1,48,Vivienda,68.2,1.04,0,802
31,F,Divorciado,Posgrado,12205.2,Empleado,50,312,2,0,31996.72,60.77,1,30,2,1,51417.82,1,10888.44,12,Educacion,21.85,7.43,0,797
41,M,Viudo,Técnico,14502.5,Empleado,96,19,5,2,35177.31,20.5,1,90,0,0,0.0,0,24028.67,48,Consumo,20.21,3.45,0,765
22,F,Soltero,Técnico,1841.08,Empresario,98,20,2,5,3291.16,5.58,1,90,1,0,0.0,1,24739.7,60,Negocio,14.9,22.4,0,809
45,F,Soltero,Universitario,7374.54,Independiente,3,1,3,1,27447.43,13.53,0,0,0,1,103244.82,1,9783.7,72,Educacion,31.02,1.84,0,781
30,F,Divorciado,Secundaria,3618.48,Empleado,140,56,3,1,22609.87,51.13,0,0,1,0,0.0,0,9077.99,60,Educacion,52.07,4.18,0,759
35,F,Divorciado,Secundaria,15522.15,Empleado,16,42,5,0,112897.6,26.05,1,60,0,0,0.0,0,10883.63,24,Negocio,60.61,2.92,1,599
30,F,Soltero,Universitario,1948.51,Empleado,9,41,3,1,6294.53,32.5,0,0,5,1,39893.31,1,19712.58,48,Consumo,26.92,21.08,0,794
67,M,Divorciado,Universitario,7723.06,Empleado,40,3,3,0,76460.45,68.44,0,0,2,0,0.0,1,5350.3,48,Vehiculo,82.5,1.44,0,755
39,M,Casado,Universitario,2569.05,Empleado,17,45,3,0,6159.84,15.83,1,30,2,0,0.0,1,2911.58,48,Vivienda,19.98,2.36,0,751
24,M,Casado,Universitario,18408.84,Empleado,35,25,1,2,77429.78,23.29,2,30,2,0,0.0,1,6260.03,48,Vivienda,35.05,0.71,0,797
52,M,Divorciado,Técnico,4406.53,Empleado,60,69,3,1,20314.72,46.27,1,90,6,1,147381.0,1,3393.64,36,Consolidacion,38.42,2.14,1,694
21,F,Soltero,Universitario,6885.29,Empleado,74,8,2,1,17700.74,48.04,1,30,2,1,110444.52,1,8317.61,24,Vivienda,21.42,5.03,0,793
43,F,Casado,Universitario,8481.99,Empleado,102,9,5,2,61508.13,34.65,1,30,2,1,128005.75,0,16704.34,48,Vivienda,60.43,4.1,0,798
18,M,Soltero,Secundaria,2066.54,Empleado,67,50,0,1,24434.26,15.75,0,0,0,1,97712.8,1,2923.88,24,Vehiculo,98.53,5.9,0,779
20,M,Soltero,Secundaria,6119.05,Empresario,21,61,5,0,13398.19,9.21,2,90,0,0,0.0,1,8139.42,48,Vehiculo,18.25,2.77,0,800
42,F,Casado,Universitario,15281.61,Empleado,54,54,2,2,24415.65,62.23,2,30,2,1,124584.09,1,8911.62,36,Vehiculo,13.31,1.62,0,781
51,M,Soltero,Secundaria,7200.32,Independiente,52,55,4,1,26670.63,77.28,0,0,2,0,0.0,1,5984.48,48,Educacion,30.87,1.73,0,743
42,F,Casado,Universitario,1832.11,Independiente,44,274,3,1,4224.41,25.05,1,60,1,1,97407.96,1,6225.33,24,Consumo,19.21,14.16,0,850
38,M,Casado,Técnico,2979.55,Empleado,20,108,6,1,8362.09,33.91,5,30,1,0,0.0,0,21358.8,72,Negocio,23.39,9.96,0,740
35,F,Casado,Secundaria,20035.77,Empleado,93,53,4,2,102017.82,17.83,1,90,2,0,0.0,0,26830.72,24,Consolidacion,42.43,5.58,0,778
18,F,Soltero,Universitario,11714.59,Empleado,15,4,4,0,41073.75,37.25,0,0,2,0,0.0,0,12546.0,24,Vivienda,29.22,4.46,0,736
29,M,Soltero,Técnico,10481.04,Desempleado,0,24,5,2,70274.83,46.59,1,60,2,0,0.0,0,3479.88,48,Consumo,55.87,0.69,0,737
33,M,Soltero,Universitario,2661.36,Empleado,13,32,1,0,11599.85,23.41,3,90,2,1,76947.98,0,15362.13,36,Educacion,36.32,16.03,1,677
55,F,Soltero,Técnico,4812.3,Independiente,59,54,6,4,17785.7,22.14,2,120,1,0,0.0,0,16005.54,60,Consumo,30.8,5.54,0,789
45,M,Soltero,Universitario,3345.44,Empleado,26,166,0,2,11226.73,36.47,0,0,2,0,0.0,1,5800.74,12,Vivienda,27.97,14.45,0,698
18,M,Soltero,Técnico,2419.48,Empleado,14,73,5,1,6102.44,42.22,0,0,3,1,50252.65,1,7259.3,12,Vivienda,21.02,25.0,0,711
44,F,Soltero,Universitario,10166.6,Empleado,24,64,4,2,1712.3,33.42,1,60,1,1,98799.4,0,9902.33,36,Consumo,1.4,2.71,0,770
34,M,Casado,Universitario,2934.05,Empleado,110,6,0,0,24250.68,21.72,1,120,4,0,0.0,1,3175.92,72,Educacion,68.88,1.5,0,724
29,M,Soltero,Universitario,2276.4,Empleado,22,40,3,2,15150.73,8.97,0,0,2,0,0.0,1,2724.34,36,Vivienda,55.46,3.32,0,797
49,F,Soltero,Secundaria,11839.91,Desempleado,0,54,3,0,37805.22,16.02,0,0,1,0,0.0,0,63853.21,72,Consumo,26.61,7.49,0,794
55,M,Casado,Técnico,21270.83,Empleado,59,116,4,2,73921.77,71.66,1,60,2,1,121158.92,1,20484.41,24,Vivienda,28.96,4.01,0,804
53,F,Soltero,Técnico,5164.97,Independiente,5,137,3,1,25762.36,18.7,1,120,1,0,0.0,1,4750.35,36,Consumo,41.57,2.55,0,846
27,F,Soltero,Secundaria,1663.08,Empleado,7,82,4,4,2015.07,25.29,0,0,1,0,0.0,0,1679.1,48,Vivienda,10.1,2.1,0,774
35,F,Casado,Universitario,4854.16,Empleado,116,30,5,2,10758.79,22.46,0,0,3,0,0.0,1,3885.92,12,Educacion,18.47,6.67,0,805
44,F,Soltero,Técnico,2028.5,Independiente,61,86,6,1,1221.39,4.19,2,60,1,0,0.0,1,12605.5,36,Negocio,5.02,17.26,0,827
54,F,Soltero,Universitario,3431.99,Empleado,77,74,5,4,22509.54,71.59,4,90,2,0,0.0,1,44130.62,36,Consolidacion,54.66,35.72,1,642
32,M,Soltero,Técnico,5123.48,Desempleado,0,40,1,1,52145.59,3.37,3,90,2,0,0.0,0,22363.51,72,Consolidacion,84.81,6.06,0,681
37,F,Viudo,Universitario,9452.85,Empleado,29,279,2,1,22665.91,8.64,0,0,2,1,143207.7,0,12046.43,12,Vehiculo,19.98,10.62,0,850
23,M,Soltero,Universitario,5711.24,Independiente,39,47,3,1,53522.39,67.99,2,60,2,0,0.0,1,3321.41,24,Vehiculo,78.1,2.42,0,701
22,F,Divorciado,Universitario,2697.98,Empleado,2,1,8,0,8291.83,44.12,0,0,2,0,0.0,1,8016.87,60,Vehiculo,25.61,4.95,0,720
52,F,Soltero,Técnico,16825.2,Desempleado,0,9,0,3,39895.13,15.12,0,0,2,1,476975.57,1,9256.8,60,Vivienda,19.76,0.92,0,850
60,F,Divorciado,Técnico,8480.89,Desempleado,0,16,3,3,56962.99,59.06,0,0,1,0,0.0,1,7239.12,36,Vivienda,55.97,2.37,1,711
38,M,Casado,Técnico,17742.59,Independiente,7,89,1,2,65043.33,48.57,0,0,2,0,0.0,0,11330.16,60,Negocio,30.55,1.06,0,781
55,F,Casado,Técnico,4990.86,Empleado,42,25,4,2,15251.96,28.86,0,0,1,0,0.0,1,5521.35,60,Vehiculo,25.47,1.84,0,799
45,M,Soltero,Secundaria,7133.23,Empleado,82,17,2,1,18392.08,19.37,0,0,2,0,0.0,0,3666.82,12,Vivienda,21.49,4.28,0,767
30,M,Divorciado,Secundaria,1781.69,Empresario,37,24,3,0,78.59,22.75,1,90,1,1,266730.23,1,7880.89,12,Vehiculo,0.37,36.86,1,683
45,F,Casado,Técnico,9540.22,Empleado,27,44,3,2,7915.57,10.59,0,0,3,0,0.0,0,12626.39,72,Negocio,6.91,1.84,0,830
63,M,Casado,Técnico,2137.14,Empleado,23,7,3,1,12659.99,37.15,1,30,3,0,0.0,1,17140.46,36,Consumo,49.37,22.28,1,645
39,F,Casado,Secundaria,3209.09,Empresario,20,18,5,0,9183.72,25.58,1,120,3,0,0.0,0,14869.34,12,Vehiculo,23.85,38.61,1,621
63,M,Soltero,Técnico,3445.96,Empleado,93,0,1,3,15122.24,63.1,1,90,4,1,57596.14,0,43648.99,36,Vivienda,36.57,35.19,1,500
18,F,Divorciado,Universitario,6184.37,Empleado,12,35,3,3,3942.17,36.28,0,0,2,0,0.0,0,4882.18,60,Vehiculo,5.31,1.32,0,753
52,F,Soltero,Posgrado,2215.05,Independiente,3,161,2,2,4567.68,31.74,0,0,1,0,0.0,0,1983.76,36,Consumo,17.18,2.49,0,807
41,M,Soltero,Secundaria,34908.9,Empleado,9,46,4,0,157290.82,29.99,0,0,2,0,0.0,0,5726.61,24,Vivienda,37.55,0.68,0,720
35,F,Casado,Universitario,1930.58,Empleado,2,90,3,0,2391.38,29.18,0,0,1,0,0.0,0,18109.04,48,Consolidacion,10.32,19.54,0,775
41,F,Soltero,Universitario,989.47,Empresario,133,5,4,3,3911.57,34.45,0,0,3,1,40705.13,1,7873.49,24,Educacion,32.94,33.16,0,828
18,M,Divorciado,Universitario,4590.26,Empleado,62,141,2,1,2176.05,55.66,0,0,0,1,63850.37,1,26174.6,36,Vehiculo,3.95,15.84,0,798
36,F,Soltero,Universitario,6562.5,Empleado,86,89,1,1,3311.2,8.81,1,90,3,0,0.0,0,11533.39,24,Consumo,4.2,7.32,0,805
45,F,Casado,Posgrado,14500.66,Independiente,87,145,0,0,49222.91,18.49,1,120,3,0,0.0,0,33078.97,24,Consumo,28.29,9.51,0,844
62,F,Casado,Universitario,11088.03,Independiente,0,173,2,2,19693.83,18.33,1,60,1,1,40513.87,0,3952.72,60,Consolidacion,14.8,0.59,0,826
32,F,Casado,Universitario,10141.36,Empleado,2,16,2,2,35174.73,56.6,2,30,0,0,0.0,1,31907.62,36,Vehiculo,28.9,8.74,1,576
27,F,Casado,Secundaria,9131.7,Empleado,33,59,2,4,32694.91,36.78,1,90,3,0,0.0,0,8142.13,60,Consumo,29.84,1.49,0,725
32,F,Casado,Secundaria,8921.86,Empleado,8,94,2,0,17034.0,44.18,1,120,0,0,0.0,1,4980.22,24,Vivienda,15.91,2.33,1,656
53,M,Viudo,Técnico,5349.23,Empleado,108,300,4,2,13031.6,25.79,1,90,1,0,0.0,0,18851.19,60,Consumo,20.3,5.87,0,831
44,F,Divorciado,Secundaria,1990.79,Empresario,45,112,4,3,6543.5,10.37,1,90,2,1,199181.45,1,6234.34,72,Vivienda,27.39,4.35,0,825
32,M,Casado,Secundaria,2019.68,Empresario,16,155,3,2,4048.15,35.37,0,0,3,0,0.0,0,4187.14,48,Consolidacion,16.7,4.32,0,798
47,M,Soltero,Posgrado,3885.81,Empleado,14,208,3,2,2709.75,39.91,0,0,2,1,62994.51,1,6906.06,60,Consolidacion,5.81,2.96,0,812
41,F,Divorciado,Universitario,4491.34,Independiente,156,56,1,3,3990.72,39.58,1,90,0,1,239427.47,0,2506.27,60,Negocio,7.4,0.93,0,810
54,F,Casado,Universitario,12206.16,Empleado,23,30,4,2,14351.72,41.05,2,30,5,0,0.0,0,13914.52,60,Consumo,9.8,1.9,0,782
29,F,Soltero,Técnico,5551.01,Empleado,56,49,6,0,1769.87,0.39,0,0,1,1,358977.85,1,14156.47,36,Vivienda,2.66,7.08,0,811
35,F,Soltero,Secundaria,3529.53,Empresario,28,36,2,2,10797.63,24.46,0,0,6,1,149862.95,1,11420.64,12,Negocio,25.49,26.96,1,674
34,M,Casado,Secundaria,36822.4,Empleado,77,2,3,2,344910.59,56.16,5,30,1,1,53949.68,0,11917.08,36,Vehiculo,78.06,0.9,1,661
18,M,Casado,Técnico,9171.53,Independiente,150,33,2,5,19303.6,16.79,1,90,7,1,211293.99,1,13408.17,72,Consolidacion,17.54,2.03,0,785
44,M,Casado,Universitario,2840.66,Empleado,298,14,3,2,6079.6,2.98,0,0,1,0,0.0,1,13882.74,60,Educacion,17.84,8.15,0,850
43,F,Casado,Universitario,3590.85,Empleado,15,61,1,1,11929.41,4.91,0,0,1,1,88692.37,1,3096.09,12,Consumo,27.68,7.19,0,836
40,M,Soltero,Técnico,800.0,Independiente,73,42,2,4,655.68,38.31,0,0,0,0,0.0,0,5009.67,36,Educacion,6.83,17.39,0,779
36,F,Soltero,Secundaria,21788.99,Empleado,23,1,3,0,128012.92,45.38,0,0,1,0,0.0,1,7573.14,72,Consumo,48.96,0.48,0,719
18,F,Casado,Universitario,11548.06,Empleado,180,8,4,4,59800.35,30.88,0,0,1,1,68019.41,1,6632.06,24,Consumo,43.15,2.39,0,828
33,F,Soltero,Técnico,10279.71,Empleado,4,104,2,2,8779.05,33.71,0,0,0,0,0.0,1,5045.95,48,Educacion,7.12,1.02,0,826
34,F,Casado,Técnico,3252.7,Independiente,95,29,8,4,16358.12,47.63,0,0,3,0,0.0,0,28460.04,60,Educacion,41.91,14.58,0,789
27,M,Soltero,Universitario,19149.97,Independiente,43,17,2,0,41816.21,22.89,0,0,0,0,0.0,1,4595.56,12,Vivienda,18.2,2.0,0,755
37,F,Soltero,Universitario,6127.0,Independiente,37,127,1,2,3514.92,34.95,1,30,1,0,0.0,0,16086.1,48,Negocio,4.78,5.47,0,805
46,M,Soltero,Posgrado,1075.54,Empleado,5,13,4,0,5150.93,28.44,2,90,1,1,74312.61,0,2288.02,24,Vivienda,39.91,8.86,0,718
68,F,Soltero,Técnico,4344.17,Empleado,24,141,2,0,13471.38,67.53,0,0,3,0,0.0,0,23030.49,24,Vehiculo,25.84,22.09,1,650
42,F,Soltero,Secundaria,2983.65,Independiente,52,63,1,2,12337.63,26.44,2,90,4,1,35706.71,0,35338.45,12,Educacion,34.46,98.7,1,619
43,F,Casado,Posgrado,3022.59,Empresario,43,1,2,1,12710.06,4.07,0,0,4,1,119197.4,1,14996.44,72,Consumo,35.04,6.89,0,809
38,F,Soltero,Técnico,1180.31,Independiente,41,188,3,1,9076.51,29.01,1,90,2,0,0.0,0,9527.79,24,Consumo,64.08,33.63,0,777
18,M,Divorciado,Posgrado,6276.54,Independiente,53,34,5,2,36628.55,14.48,0,0,1,1,185214.04,0,2681.39,72,Consumo,48.63,0.59,0,823
39,M,Casado,Técnico,1778.71,Empleado,22,66,2,1,1229.8,16.66,2,30,0,1,46367.39,1,3133.88,12,Consumo,5.76,14.68,0,823
40,M,Casado,Técnico,12060.38,Empleado,69,25,1,1,46483.82,50.88,0,0,3,0,0.0,0,9972.01,12,Educacion,32.12,6.89,1,707
76,M,Soltero,Secundaria,2128.38,Empleado,88,14,2,0,20619.91,21.77,0,0,6,1,68556.45,1,18524.4,24,Vivienda,80.73,36.26,0,755
37,F,Divorciado,Secundaria,2272.88,Empleado,18,50,3,0,2375.86,37.7,1,30,2,1,30188.12,0,5130.49,72,Negocio,8.71,3.14,0,676
44,M,Divorciado,Secundaria,1924.45,Empresario,15,0,5,2,14372.91,19.15,1,120,2,0,0.0,0,9001.41,48,Vivienda,62.24,9.74,1,698
39,F,Soltero,Universitario,10740.97,Empleado,79,55,0,3,52585.73,15.05,0,0,3,0,0.0,1,8036.64,24,Vivienda,40.8,3.12,0,719
22,M,Casado,Técnico,4868.46,Empleado,6,9,2,1,49272.54,21.31,0,0,4,0,0.0,1,2058.17,72,Negocio,84.34,0.59,0,782
57,M,Soltero,Posgrado,4516.15,Empresario,5,38,2,0,11624.5,16.37,0,0,2,1,137160.26,1,5452.19,36,Negocio,21.45,3.35,0,789
51,M,Casado,Técnico,4369.44,Empleado,9,17,0,1,859.4,34.52,1,90,2,1,30000.0,0,11194.35,12,Vivienda,1.64,21.35,1,682
51,M,Divorciado,Secundaria,10899.03,Empleado,118,3,5,3,37260.67,4.72,0,0,3,0,0.0,0,18298.36,12,Consumo,28.49,13.99,0,797
26,M,Divorciado,Técnico,16386.19,Independiente,0,55,1,1,25602.01,41.45,0,0,2,1,86166.12,1,15612.1,36,Consolidacion,13.02,2.65,0,814
61,M,Soltero,Universitario,3898.62,Empleado,102,55,3,1,3330.24,43.32,0,0,4,0,0.0,0,9295.21,72,Negocio,7.12,3.31,0,831
18,F,Divorciado,Universitario,1382.79,Independiente,5,36,1,1,3237.47,8.62,1,90,0,0,0.0,1,7456.24,24,Vehiculo,19.51,22.47,0,803
48,M,Soltero,Secundaria,8123.43,Empleado,80,1,1,1,47722.99,20.64,1,30,1,0,0.0,0,11640.92,12,Vehiculo,48.96,11.94,0,775
72,F,Divorciado,Posgrado,7245.87,Empleado,201,12,2,0,30965.79,23.51,0,0,0,0,0.0,1,9580.77,12,Negocio,35.61,11.02,0,817
25,M,Casado,Técnico,2051.31,Independiente,88,15,3,1,16405.76,9.92,1,60,2,0,0.0,1,3622.93,60,Vivienda,66.65,2.94,0,805
31,F,Divorciado,Técnico,800.0,Desempleado,0,28,5,2,4469.5,25.13,2,60,1,0,0.0,1,5414.38,12,Consumo,46.56,56.4,1,617
41,F,Casado,Técnico,2481.33,Empleado,31,45,1,1,10082.59,23.67,1,90,2,0,0.0,0,7683.34,12,Negocio,33.86,25.8,0,725
32,M,Divorciado,Universitario,23697.67,Independiente,127,68,4,4,28833.38,43.91,0,0,1,0,0.0,1,13580.46,72,Consumo,10.14,0.8,0,850
18,F,Divorciado,Posgrado,1651.49,Empleado,88,1,2,1,16264.72,36.97,2,60,4,0,0.0,1,6638.9,72,Consumo,82.07,5.58,0,782
41,M,Soltero,Universitario,5790.82,Independiente,67,4,0,1,15216.01,37.23,2,120,0,0,0.0,0,3637.4,36,Consumo,21.9,1.74,0,775
24,M,Soltero,Secundaria,15130.61,Empleado,5,76,0,2,21556.34,42.17,0,0,1,1,163952.95,1,1569.95,36,Negocio,11.87,0.29,0,807
47,F,Casado,Universitario,2036.47,Empleado,10,43,4,1,6669.9,10.31,1,30,2,0,0.0,1,4273.12,24,Consumo,27.29,8.74,0,805
26,F,Casado,Universitario,4248.41,Empleado,16,6,4,3,28003.29,46.56,0,0,1,0,0.0,1,12838.82,48,Educacion,54.93,6.3,1,671
63,M,Soltero,Universitario,5428.93,Empleado,3,54,4,0,9818.87,23.78,1,30,1,0,0.0,0,5860.97,36,Vehiculo,15.07,3.0,0,718
28,F,Casado,Secundaria,10070.64,Empleado,41,79,2,1,19179.83,76.29,1,30,2,0,0.0,1,6995.93,12,Educacion,15.87,5.79,0,732
35,M,Soltero,Técnico,2668.85,Empleado,6,14,1,2,14189.85,9.17,0,0,2,1,129979.27,0,2354.28,72,Vehiculo,44.31,1.23,0,784
52,F,Casado,Secundaria,1537.56,Empleado,17,5,3,1,6643.43,28.85,3,120,2,1,43608.46,0,2885.5,12,Educacion,36.01,15.64,1,672
21,F,Casado,Técnico,13285.36,Empleado,20,37,3,1,59524.17,19.39,0,0,3,1,115121.45,0,9920.89,48,Consolidacion,37.34,1.56,0,771
43,M,Casado,Universitario,4768.34,Independiente,75,20,2,2,3847.94,25.69,0,0,3,0,0.0,1,9406.25,48,Consolidacion,6.72,4.11,0,820
59,F,Soltero,Técnico,1752.67,Empleado,24,109,2,0,13686.94,36.48,0,0,1,1,107519.95,0,24874.24,36,Consumo,65.08,39.42,1,671
18,M,Soltero,Secundaria,8917.95,Empleado,13,35,4,0,30470.54,28.36,2,30,1,0,0.0,0,33484.38,12,Vivienda,28.47,31.29,0,768
42,M,Soltero,Secundaria,7542.81,Empleado,1,17,3,3,15347.46,18.87,0,0,0,0,0.0,0,6692.65,24,Educacion,16.96,3.7,0,791
43,M,Soltero,Universitario,21104.72,Empleado,15,42,2,4,45959.38,16.11,0,0,3,0,0.0,0,9089.88,36,Consumo,18.15,1.2,0,787
51,M,Soltero,Técnico,1832.38,Empleado,60,31,3,4,2423.84,42.03,0,0,1,0,0.0,0,3669.77,24,Vehiculo,11.02,8.34,0,779
21,M,Casado,Posgrado,2843.48,Empleado,31,35,5,2,7964.77,19.48,1,60,3,1,82289.55,1,4972.51,24,Consumo,23.34,7.29,0,827
20,F,Soltero,Universitario,6570.42,Empleado,164,104,4,1,52371.01,21.91,0,0,4,1,44095.07,1,19574.82,48,Vivienda,66.42,6.21,0,820
47,M,Soltero,Técnico,15975.37,Empleado,17,10,2,1,12899.08,14.59,1,60,1,0,0.0,0,4276.22,60,Consumo,6.73,0.45,0,769
44,M,Divorciado,Técnico,16982.2,Empleado,60,109,6,1,205013.64,66.99,0,0,7,1,206120.29,1,3179.53,48,Consumo,100.6,0.39,0,695
43,F,Soltero,Secundaria,10653.17,Empleado,8,63,3,3,47334.25,13.41,2,30,2,0,0.0,1,5558.3,72,Educacion,37.03,0.72,0,697
45,F,Soltero,Universitario,2796.66,Empleado,60,68,2,2,3244.65,18.69,1,90,1,0,0.0,1,3154.2,48,Educacion,9.67,2.35,0,826
29,F,Casado,Técnico,2817.46,Empleado,75,10,5,0,28866.85,24.43,0,0,2,1,54795.26,0,7754.12,60,Vivienda,85.38,4.59,0,759
43,M,Casado,Universitario,6296.93,Empleado,42,81,5,0,31676.99,6.86,0,0,2,0,0.0,1,4430.71,36,Vivienda,41.92,1.95,0,788
44,F,Soltero,Técnico,904.4,Empleado,91,1,1,1,5828.84,39.99,2,90,4,0,0.0,1,6553.71,36,Vivienda,53.71,20.13,0,776
29,F,Casado,Técnico,17931.83,Empleado,52,60,2,0,30833.66,62.89,1,120,0,0,0.0,1,3338.21,36,Vehiculo,14.33,0.52,1,627
67,M,Casado,Técnico,8555.48,Empleado,12,16,8,4,7221.19,12.18,0,0,1,1,107835.76,0,20715.63,48,Negocio,7.03,5.04,0,751
47,M,Casado,Universitario,20496.22,Empleado,71,13,3,1,43783.25,4.71,2,30,0,1,95424.55,0,4404.78,12,Vivienda,17.8,1.79,0,850
22,F,Divorciado,Universitario,2232.49,Empleado,10,21,4,5,532.14,48.78,0,0,0,0,0.0,0,16535.56,12,Vivienda,1.99,61.72,1,476
49,F,Viudo,Posgrado,2466.55,Independiente,20,194,6,2,7004.46,12.37,1,120,0,1,65962.62,1,15683.02,72,Vehiculo,23.66,8.83,0,822
25,F,Casado,Secundaria,17611.23,Empleado,142,31,2,3,68881.33,24.6,1,90,2,0,0.0,0,1946.62,24,Vivienda,32.59,0.46,0,805
51,F,Viudo,Universitario,3999.77,Empleado,16,49,0,1,4906.16,48.96,0,0,2,0,0.0,1,17541.2,60,Consumo,10.22,7.31,0,737
57,M,Casado,Secundaria,8751.67,Independiente,39,78,5,2,51293.62,26.25,0,0,0,1,187015.11,0,35113.26,72,Negocio,48.84,5.57,0,785
27,F,Casado,Posgrado,891.76,Empleado,18,110,3,2,4363.67,8.58,1,60,3,1,54424.86,0,11769.46,12,Consolidacion,40.78,109.98,1,537
54,F,Divorciado,Secundaria,3375.14,Empleado,59,14,5,2,12006.92,31.76,0,0,3,0,0.0,0,24637.75,12,Educacion,29.65,60.83,1,641
46,M,Viudo,Técnico,4478.41,Empleado,6,24,1,0,9461.11,25.03,0,0,2,0,0.0,0,3674.51,72,Consolidacion,17.61,1.14,1,698
52,M,Viudo,Posgrado,7647.46,Empleado,86,94,2,0,50152.92,64.94,1,60,1,1,57840.35,0,25436.51,72,Vehiculo,54.65,4.62,0,691
68,F,Casado,Secundaria,6432.19,Empleado,35,6,5,3,38553.87,24.62,1,120,0,1,181974.29,0,2833.18,12,Vehiculo,49.95,3.67,0,789
36,F,Casado,Universitario,6124.44,Empleado,59,57,4,2,3476.4,32.06,0,0,0,0,0.0,1,29668.39,72,Consumo,4.73,6.73,0,706
